taskid,energy,Gnorm,a,b,c,alpha,beta,gamma,V,Static_xx,Static_yy,Static_zz,ε0,HighFreq_xx,HighFreq_yy,HighFreq_zz,ε∞,Bulk0,Shear0,Young0,C11,C12,C44,V_La_avg,V_Ce_avg,V_O_avg,Weight,Wi
0,-16769.13432695,0.00000035,18.793688,20.517051,19.224691,89.114664,90.000000,90.000000,7411.983989,6.817250,23.19801,20.28163,19.59398,21.024540000000002,4.51113,4.21557,4.27099,4.332563333333333,167.22510,64.20627,190.49426,291.8319,126.3983,78.4586,0,-40.06458825000001,0,1.343643536909892e-191,1.343643231145292e-191
1,-16773.59414889,0.00000121,19.444701,20.146938,19.090678,90.012191,89.990498,89.952963,7478.793212,6.756350,23.17457,22.86063,22.93690,22.990700000000004,4.12240,4.15805,4.13438,4.138276666666667,153.00371,65.56829,163.34298,238.2903,107.3802,72.1627,-29.620223833333334,-40.056004108333354,21.550484412121218,1.1220059149705391e-116,1.1220056596426338e-116
10,-16772.05019127,0.00003837,19.395560,20.217665,19.083031,89.821221,90.068509,89.791174,7482.993367,6.752558,25.43241,23.21567,22.93402,23.860699999999998,4.14850,4.11429,4.12975,4.130846666666666,154.52857,66.54496,170.59257,244.8220,106.6776,73.9494,-29.653729399999985,0,21.548141603030295,1.2961304249473023e-142,1.2961301299949655e-142
100,-16771.63948322,0.00002493,19.413308,20.245118,19.001994,89.763254,89.865313,90.230998,7468.108026,6.766017,22.80210,22.56717,22.72002,22.696430000000003,4.13328,4.12009,4.16778,4.140383333333333,155.90125,66.23467,168.14606,243.0969,107.2338,72.2882,0,-40.046577691666684,0,1.6332668051208585e-149,1.633266433448493e-149
1000,-16769.97974240,0.00002510,19.411576,20.217236,19.086779,89.745419,90.036495,89.988965,7490.500359,6.745791,23.50303,23.35819,23.96196,23.607726666666668,4.10469,4.14178,4.08963,4.112033333333333,150.13728,65.06778,159.15067,229.8134,103.3685,71.9383,-29.655532066666673,0,21.512570506060623,2.1411078429162395e-177,2.1411073556776485e-177
1001,-16768.95089573,0.00001177,19.460640,20.198019,19.022347,89.840261,89.758294,90.131689,7476.929578,6.758034,23.49121,22.74040,22.34277,22.858126666666667,4.09240,4.07944,4.09109,4.087643333333333,153.15425,67.22590,168.46304,237.1948,101.6988,72.9652,0,0,21.5439779060606,1.113717893349413e-194,1.1137176399075611e-194
1002,-16772.71812594,0.00000003,19.350122,20.209547,19.092859,89.906279,89.994741,90.234874,7466.326853,6.767631,23.82553,22.76608,23.20850,23.266703333333336,4.09187,4.07431,4.11064,4.092273333333334,155.57098,67.08902,165.94390,240.3129,110.8412,76.7306,-29.551134000000005,0,21.53500783939393,2.1550497588245539e-131,2.1550492684132881e-131
1003,-16775.27110525,0.00000000,19.453619,20.190151,19.039806,90.236370,90.104606,90.030801,7478.215934,6.756872,23.00862,22.31732,23.45205,22.925996666666666,4.12900,4.17213,4.16845,4.156526666666667,154.58633,67.57597,167.23248,235.6896,100.4207,74.3392,-29.631135516666657,0,21.526835160606062,1.6657970274647554e-88,1.6657966483896898e-88
1004,-16774.27988338,0.00003197,19.409979,20.178122,19.101965,90.013925,89.934980,90.267843,7481.330174,6.754059,23.75470,23.27751,23.30094,23.444383333333334,4.15024,4.17073,4.15006,4.15701,153.30543,67.21751,169.40597,239.2064,104.1434,76.2907,0,-40.07154798333333,21.53601408787878,3.713877362118786e-105,3.71387651697482e-105
1005,-16773.19485346,0.00000012,19.415527,20.199754,19.039394,89.866964,89.864100,90.175394,7466.962013,6.767056,22.75582,23.14039,22.82450,22.906903333333332,4.14538,4.16867,4.17352,4.162523333333334,156.77791,67.79213,169.71201,243.3221,105.5705,76.2643,0,-40.037653958333344,0,2.1985034648921608e-123,2.1985029645924052e-123
1006,-16769.39388823,0.00000072,19.424065,20.242921,19.039723,89.847424,89.887919,90.268600,7486.292232,6.749582,23.24588,22.52124,22.83481,22.86731,4.12827,4.09227,4.10571,4.10875,153.55074,66.33951,167.25066,243.4140,107.1592,71.4386,0,0,0,3.081212538344201e-187,3.0812118371718337e-187
1007,-16770.89442840,0.00003251,19.447886,20.203271,19.029017,90.037204,90.163666,89.904843,7476.666010,6.758273,24.32546,22.11793,22.59410,23.012496666666667,4.10208,4.10847,4.12220,4.110916666666667,147.98525,65.41500,158.46137,222.8972,97.8657,72.7348,-29.59417993333333,-40.06320333333333,21.528236569696965,4.973785360745966e-162,4.973784228892576e-162
1008,-16769.83256053,0.00000003,19.440593,20.163733,19.059202,90.146661,89.637009,90.210927,7470.885966,6.763501,24.17054,22.86141,22.06299,23.031646666666663,4.13907,4.13019,4.13541,4.1348899999999995,155.81728,65.46972,164.60136,238.1295,107.8047,74.4553,0,-40.049158408333334,21.52798878787878,7.212601701815947e-180,7.2126000604890515e-180
1009,-16773.28742733,0.00005428,19.419932,20.203973,19.066227,89.961605,89.843091,90.184845,7480.752200,6.754581,22.31194,22.85234,23.25844,22.807573333333334,4.14101,4.11916,4.12061,4.126926666666666,156.58800,67.89532,170.73444,244.8137,110.7245,75.4724,0,-40.069275925000014,0,7.8940472750087e-122,7.894045478609475e-122
101,-16777.88471646,0.00000315,19.430652,20.188900,19.073970,90.179669,89.877667,89.913988,7482.341143,6.753147,23.61729,22.83832,23.64340,23.366336666666665,4.11005,4.10967,4.13389,4.11787,152.59689,65.21441,167.39703,239.2645,102.0440,75.0221,-29.535085399999996,-40.068944475,21.537873687878776,1.3438721477485e-44,1.3438718419318764e-44
1010,-16770.91632410,0.00000007,19.366825,20.233521,19.043796,89.938788,90.035006,89.953534,7462.475438,6.771124,24.27662,23.72723,24.75159,24.25181333333333,4.19982,4.15083,4.13463,4.16176,156.36510,66.78836,169.48475,244.2746,102.0354,74.8108,-29.542785650000006,0,21.516143860606064,1.1601619305181171e-161,1.1601616665072847e-161
1011,-16771.43531010,0.00004489,19.451608,20.217413,19.052779,90.316160,89.997969,90.187276,7492.564562,6.743932,22.62631,21.87642,22.67191,22.391546666666667,4.07280,4.07180,4.07179,4.0721300000000005,152.55400,66.21788,168.12562,238.1321,103.9374,73.6074,0,-40.07154798333333,21.53601408787878,6.068756067844686e-153,6.068754686815624e-153
1012,-16775.20209257,0.00000012,19.467370,20.211985,19.005312,90.160567,89.934585,90.200329,7478.019747,6.757049,24.01185,23.37346,23.84209,23.74246666666667,4.11464,4.15557,4.18129,4.1505,153.01037,66.45212,165.31523,240.8036,104.7459,75.8140,-29.559829366666666,0,21.52190276060608,1.1541442321477557e-89,1.1541439695063333e-89
1013,-16772.03308034,0.00000007,19.455642,20.180902,19.059159,89.980746,89.890146,89.899757,7483.217909,6.752355,23.21309,22.21260,22.63645,22.68738,4.10930,4.11156,4.11737,4.112743333333333,154.54280,66.85218,166.41072,241.2314,108.9589,74.5889,-29.58008501666667,-40.05157595833334,21.52943776969695,6.686482815017392e-143,6.686481293416098e-143
1014,-16773.55746397,0.00000250,19.490849,20.119125,19.061001,90.238253,89.819111,90.101967,7474.444891,6.760281,22.87216,22.83155,23.17813,22.96061333333333,4.16077,4.12992,4.14505,4.145246666666668,153.60522,66.44374,167.08344,242.7597,107.4838,75.0742,-29.57670208333333,-40.02491670833334,21.542449139393938,2.7146610681052466e-117,2.714660450346717e-117
1015,-16771.24858970,0.00000026,19.382503,20.207491,19.070030,89.978194,89.829323,89.521876,7468.898482,6.765301,23.00851,24.17442,23.32767,23.503533333333333,4.13601,4.13524,4.12834,4.133196666666666,157.01587,67.87692,172.13534,250.7333,112.2513,76.9981,-29.625293350000007,-40.03558249166667,21.51736727272727,4.429299212837957e-156,4.429298204889892e-156
1016,-16772.54547118,0.00000004,19.485880,20.197307,18.982281,90.142496,89.603950,90.417166,7470.311458,6.764021,22.82298,22.51977,23.94100,23.094583333333333,4.04922,4.12102,4.13207,4.10077,153.19742,67.31574,168.07785,238.2717,102.9036,76.5436,-29.620405133333332,0,21.53158087878787,2.710097977619251e-134,2.7100973608991153e-134
1017,-16771.12881518,0.00000080,19.444292,20.180900,19.040191,90.140266,90.159074,89.643479,7471.238360,6.763182,23.48639,23.59001,23.29879,23.45839666666667,4.14712,4.12880,4.15511,4.143676666666667,155.01626,66.78402,167.44910,244.3796,109.4841,73.6213,0,-40.05370039166666,21.532878312121223,4.307364677936819e-158,4.307363697736637e-158
1018,-16771.37956637,0.00000694,19.431889,20.243584,19.007093,90.001410,89.853016,89.912183,7476.807508,6.758145,24.06986,22.65405,23.52639,23.41676666666667,4.14445,4.12136,4.16198,4.142596666666667,154.41935,66.27217,162.87953,236.6033,105.3544,74.7229,-29.550504633333325,-40.055606491666666,0,7.024998460168987e-154,7.024996861533794e-154
1019,-16772.66065632,0.00000010,19.529926,20.141484,19.025021,90.300571,89.874799,90.189289,7483.553360,6.752053,23.18642,23.84857,25.13867,24.057886666666665,4.11054,4.09465,4.15763,4.12094,151.03688,66.09094,164.79570,232.3913,103.8552,74.4572,-29.609647283333338,-40.045645775,0,2.3335127505609384e-132,2.3335122195379598e-132
102,-16776.29791510,0.00000113,19.407582,20.145951,19.100976,90.025924,89.915651,90.153380,7468.144056,6.765984,21.95672,22.78644,22.80024,22.514466666666667,4.18597,4.18829,4.16834,4.180866666666667,154.61405,67.49870,177.97389,249.7928,106.8678,74.4217,0,-40.088725374999996,0,2.9598408366049656e-71,2.9598401630524013e-71
