taskid,energy,Gnorm,a,b,c,alpha,beta,gamma,V,Static_xx,Static_yy,Static_zz,ε0,HighFreq_xx,HighFreq_yy,HighFreq_zz,ε∞,Bulk0,Shear0,Young0,C11,C12,C44,V_La_avg,V_Ce_avg,V_O_avg,Weight,Wi
1020,-16772.36886050,0.00002503,19.399260,20.235261,19.063822,90.107312,90.108791,90.016882,7483.459437,6.752137,23.76152,21.40168,23.29436,22.819186666666667,4.12656,4.11728,4.09262,4.112153333333333,156.48899,67.24958,173.96552,246.9256,109.0239,74.6716,-29.64468888333332,-40.01490602500001,0,2.92453047228099e-137,2.924529806763786e-137
1021,-16775.17881788,0.00000068,19.441331,20.203374,19.062849,90.033154,90.036977,89.906923,7487.502522,6.748491,22.64260,22.77019,22.84189,22.75156,4.14719,4.13681,4.12485,4.136283333333333,155.17178,68.35275,167.80576,241.8865,107.9392,76.4802,-29.620223833333334,-40.05611966666666,0,4.6909683461212074e-90,4.690967278626726e-90
1022,-16774.45407200,0.00000001,19.414198,20.169660,19.077147,90.196987,89.904158,90.127389,7470.113679,6.764201,22.76505,22.82853,23.05345,22.882343333333335,4.17375,4.12029,4.13573,4.143256666666666,156.01651,67.74828,174.99985,247.6673,109.0583,78.0986,-29.631135516666657,-40.04504054999999,21.534021866666667,3.1337733475654608e-102,3.133772634432157e-102
1023,-16775.18677268,0.00000015,19.409328,20.191155,19.056249,90.013099,90.044630,90.138425,7468.057714,6.766063,23.60927,22.45214,22.18939,22.750266666666665,4.14573,4.15176,4.11708,4.13819,156.35062,67.37597,169.30601,241.6294,108.0207,77.0236,-29.655532066666673,0,0,6.3811251271299895e-90,6.381123675017045e-90
1024,-16772.23550084,0.00006848,19.459294,20.190831,19.030616,89.856767,90.271529,89.878928,7476.992072,6.757978,22.78114,23.47987,22.98977,23.08359333333333,4.12108,4.17535,4.13596,4.1441300000000005,156.40253,66.77853,170.62646,241.2018,105.0367,71.6149,-29.631135516666657,-40.04504054999999,0,1.6815603818291266e-139,1.6815599991668923e-139
1025,-16773.01278010,0.00013522,19.414136,20.247275,19.069372,89.896097,90.117186,89.693666,7495.717225,6.741096,22.29242,22.92836,21.48025,22.233676666666668,4.07276,4.06644,4.06924,4.0694799999999995,152.17486,68.69318,174.18884,242.6403,102.2299,75.2303,-29.620405133333332,0,21.53158087878787,1.9205664068107822e-126,1.920565969759434e-126
1026,-16775.65303834,0.00000016,19.353256,20.202694,19.091741,89.870854,89.970072,90.061972,7464.615611,6.769183,25.61704,26.18507,24.24415,25.348753333333335,4.15632,4.15825,4.17940,4.164656666666667,150.92817,65.77991,171.85152,241.0467,105.4469,75.6343,-29.598229166666673,-40.088725374999996,21.561408281818174,4.3432577191541644e-82,4.3432567307860274e-82
1027,-16772.76891324,0.00000583,19.468376,20.131109,19.088437,90.121997,89.788944,89.852043,7481.047236,6.754315,22.72080,23.20218,23.15013,23.02437,4.10601,4.09193,4.09310,4.097013333333333,152.62308,66.97105,172.93707,245.1362,105.9230,73.7406,0,0,21.559473936363634,1.5369027618339396e-130,1.53690241209054e-130
1028,-16772.72688771,0.00000664,19.424841,20.173240,19.054830,89.859119,90.236915,89.692845,7466.669480,6.767321,22.77206,22.98142,22.09029,22.614589999999996,4.13860,4.08420,4.12111,4.114636666666667,153.17847,67.12132,171.41007,240.3523,104.8486,74.4026,0,-40.034267499999984,21.528570133333314,3.0244649780383543e-131,3.024464289779676e-131
1029,-16773.67919412,0.00006750,19.423138,20.164817,19.094806,89.909343,90.181504,89.810377,7478.660521,6.756470,23.38208,21.97768,22.18015,22.51330333333333,4.14150,4.13497,4.07664,4.117703333333334,153.87441,67.53926,166.35047,237.7911,103.6326,74.7536,-29.63717661666668,0,21.53491418181819,3.0108708670859622e-115,3.010870181920811e-115
103,-16773.33043190,0.00000070,19.466558,20.192259,19.021281,89.957798,90.237623,89.774801,7476.642830,6.758294,24.71833,23.33327,23.48688,23.846159999999998,4.16768,4.10825,4.12220,4.132709999999999,152.65239,65.24217,167.65814,244.3338,106.4809,71.4613,0,-40.02692630833334,21.53851183636362,4.16624400872715e-121,4.166243060640921e-121
1030,-16775.35697637,0.00003172,19.442427,20.222563,19.022959,89.918139,89.963561,90.184622,7479.317333,6.755877,22.56109,22.48565,21.88871,22.31181666666667,4.09040,4.10641,4.13167,4.109493333333333,152.47339,68.63649,170.76545,237.1873,100.8620,75.5132,-29.556913433333325,0,21.52981350303031,4.615230618404598e-87,4.61522956814528e-87
1031,-16772.58927292,0.00003289,19.422352,20.202652,19.060751,89.894101,89.973083,89.966997,7479.100501,6.756073,22.89653,23.41785,23.46249,23.258956666666666,4.14945,4.12102,4.12110,4.1305233333333335,155.98152,67.06249,169.56929,243.5996,109.3196,74.0761,-29.620223833333334,0,21.539036754545446,1.475101273152557e-133,1.4751009374729376e-133
1032,-16774.42413380,0.00000020,19.367702,20.229670,19.055688,89.705235,89.983930,89.884592,7465.946463,6.767976,22.87993,23.14737,23.23179,23.086363333333335,4.19038,4.17963,4.15424,4.17475,156.23787,66.50337,170.96909,245.8448,107.0814,73.1397,-29.620223833333334,0,21.539036754545446,9.843010725934782e-103,9.84300848602207e-103
1033,-16772.73234267,0.00000023,19.380952,20.273837,19.047648,89.819268,89.839288,90.040254,7484.252524,6.751422,23.55635,22.79803,22.64295,22.99911,4.15714,4.09558,4.16259,4.138436666666666,153.28204,66.10939,169.40919,241.4093,106.8474,73.2208,-29.631135516666657,-40.04504054999999,0,3.7349763364663136e-131,3.734975486520986e-131
1034,-16771.05433468,0.00000017,19.450824,20.148124,19.059419,90.087158,90.015907,90.143252,7469.308514,6.764930,22.27202,23.45039,22.99384,22.905416666666667,4.13622,4.14192,4.15485,4.14433,154.66823,66.93767,171.35392,244.7026,107.1615,75.9749,-29.63292208333333,-40.04103985833333,21.52930061515152,2.415429198630306e-159,2.415428648966111e-159
1035,-16772.05878023,0.00005703,19.371271,20.227009,19.075385,90.128358,89.978187,89.782813,7474.098882,6.760594,23.23443,23.07634,22.62020,22.97699,4.13090,4.11074,4.14380,4.12848,153.76407,66.98744,170.96073,240.4170,106.0749,73.0441,0,-40.055606491666666,0,1.806911503246126e-142,1.806911092058517e-142
1036,-16770.62740681,0.00000025,19.456581,20.205937,19.063166,89.980331,90.148691,89.946817,7494.434780,6.742249,22.80165,22.77114,22.64062,22.737803333333332,4.06980,4.04553,4.09731,4.07088,148.60376,65.41583,165.33472,231.7992,96.4752,71.6142,0,-40.02692630833334,21.53851183636362,1.625255927984089e-166,1.6252555581347092e-166
1037,-16773.69325966,0.00000016,19.406406,20.210987,19.061156,90.045123,90.134319,89.816735,7476.155363,6.758734,23.16313,23.40540,23.00248,23.190336666666667,4.11059,4.14774,4.15807,4.138800000000001,150.54401,66.29446,166.07654,239.6888,105.0950,74.3493,-29.620223833333334,0,21.539036754545446,5.187794946167719e-115,5.187793765613499e-115
1038,-16771.90043225,0.00000033,19.443679,20.125830,19.108946,90.059587,90.113272,89.793485,7477.648825,6.757384,22.76130,24.61517,23.43495,23.603806666666667,4.16667,4.12817,4.12660,4.14048,155.55194,65.68231,166.19365,244.3718,113.5976,73.9061,-29.63292208333333,0,21.506355421212106,3.951917761290362e-145,3.951916861977024e-145
1039,-16773.76646590,0.00000149,19.466025,20.254662,18.969618,90.245136,90.074817,89.851521,7479.198528,6.755984,23.04234,23.64262,23.64213,23.442363333333333,4.16283,4.13816,4.14032,4.147103333333333,156.02106,66.29560,173.23471,245.9226,108.0667,77.9400,-29.561995400000004,-40.05727460000002,21.515514787878768,8.806300609201628e-114,8.806298605206588e-114
104,-16774.96641142,0.00000003,19.438210,20.206297,19.016109,90.016182,89.968671,89.706652,7468.938607,6.765265,23.79359,23.61657,23.50185,23.637336666666666,4.14826,4.12361,4.12024,4.130703333333333,154.52682,66.31921,169.34698,242.2586,106.4598,72.9311,-29.620223833333334,-40.05611966666666,0,1.2676256660575855e-93,1.2676253775918994e-93
1040,-16773.23052942,0.00001245,19.381151,20.156493,19.108673,90.037548,90.137350,89.841573,7464.866870,6.768955,24.25953,23.01657,22.47154,23.249213333333334,4.14346,4.13356,4.14590,4.140973333333334,158.40722,66.89084,168.01029,245.5574,112.8307,73.6723,0,-40.074203950000005,0,8.738902707164491e-123,8.738900718506772e-123
1041,-16770.85064368,0.00000002,19.414849,20.170437,19.088453,90.117171,89.940055,89.861882,7475.111106,6.759678,24.01293,25.57745,23.26591,24.28543,4.11691,4.17872,4.14240,4.1460099999999995,149.86970,64.52496,165.11267,237.7535,103.9051,70.9225,-29.64332281666667,-40.034267499999984,0,9.143997895555162e-163,9.14399581471245e-163
1042,-16772.06015963,0.00001594,19.450724,20.193997,19.029999,89.863586,90.117003,90.032303,7474.714572,6.760037,24.72262,23.60588,24.01589,24.114796666666667,4.14352,4.14920,4.15644,4.149719999999999,154.95101,66.70497,169.68618,246.1023,110.0700,73.4468,0,-40.022608283333334,21.527604087878785,1.9059424494221186e-142,1.9059420156986532e-142
1043,-16771.08632306,0.00005441,19.419689,20.190120,19.037524,90.206771,90.112841,90.243155,7464.213100,6.769548,23.01887,22.48572,23.90386,23.13615,4.14094,4.14796,4.18619,4.158363333333333,157.70935,66.62331,173.11020,247.6448,108.6517,74.6750,0,-40.050814325,0,8.32483135458704e-159,8.324829460156962e-159
1044,-16773.60043459,0.00001501,19.394688,20.267483,19.004338,89.859232,89.922789,90.038207,7470.222882,6.764102,23.46999,23.61320,24.44371,23.842299999999998,4.17545,4.18991,4.16163,4.175663333333333,154.34446,65.81204,170.14402,243.6381,103.8774,75.1413,0,-40.06187202499999,21.507727854545447,1.430837319176607e-116,1.4308369935698605e-116
1045,-16771.53196120,0.00005807,19.498049,20.123728,19.019664,90.185407,90.079436,89.933612,7462.759806,6.770866,24.04042,23.22204,23.39812,23.55352666666667,4.14945,4.15592,4.18246,4.16261,153.20910,65.61527,162.30860,233.1020,106.1243,74.6275,-29.59417993333333,-40.05811045833335,21.526824887878792,2.551330373429557e-151,2.5513297928391774e-151
1046,-16770.67157716,0.00000023,19.402935,20.187908,19.113565,90.044153,89.799986,90.207552,7486.775394,6.749147,22.14629,23.33253,24.50722,23.328680000000002,4.12720,4.10501,4.09792,4.1100433333333335,149.31061,66.32466,171.61262,245.3812,106.2861,71.4996,0,0,0,8.973275049803026e-166,8.97327300781065e-166
1047,-16771.09650403,0.00000009,19.452536,20.160354,19.092211,90.134282,90.281394,90.143024,7487.258169,6.748712,23.21893,23.84943,21.72393,22.93076333333333,4.12316,4.10711,4.07716,4.102476666666667,153.37256,67.61956,167.45547,237.2752,106.3638,76.0363,0,0,0,1.2342644280140259e-158,1.2342641471401491e-158
1048,-16770.33709070,0.00000793,19.420096,20.233951,19.030527,89.732965,89.948116,90.440179,7477.650244,6.757383,22.73023,22.74427,22.41192,22.628806666666666,4.11561,4.13379,4.11082,4.120073333333334,156.71932,67.48213,167.15371,240.9314,104.5614,74.6267,0,0,21.5439779060606,2.156878916969666e-171,2.15687842614215e-171
1049,-16769.28503849,0.00000001,19.422285,20.239995,19.018044,89.959831,89.878854,90.180945,7476.069425,6.758812,22.74120,23.04248,24.00319,23.262290000000004,4.11426,4.08052,4.09200,4.095593333333333,155.17039,67.07377,172.95998,245.2130,106.2568,73.1046,-29.530234683333347,-40.037653958333344,0,4.572213546709862e-189,4.572212506239672e-189
105,-16770.67862577,0.00005388,19.478266,20.186630,19.044015,90.214796,90.063332,90.008041,7488.059899,6.747989,22.34981,22.67584,22.91896,22.64820333333333,4.10992,4.10258,4.11803,4.110176666666667,154.01120,66.22024,168.03917,241.8728,108.2970,73.5341,0,-40.056401083333334,0,1.1785890894931365e-165,1.1785888212889502e-165
1051,-16773.84860635,0.00000027,19.412653,20.277078,18.975342,90.236072,89.920195,89.825360,7469.194110,6.765033,23.05853,22.96601,22.50716,22.8439,4.15615,4.13696,4.17644,4.1565166666666675,156.96298,67.53945,178.92035,254.9591,109.6847,77.4358,-29.620223833333334,0,21.539036754545446,2.1119923127061663e-112,2.1119918320932157e-112
1052,-16773.76568065,0.00000030,19.432424,20.148427,19.079521,89.983182,89.847911,89.881763,7470.215228,6.764109,23.65528,23.01203,22.38965,23.018986666666667,4.15256,4.15022,4.14143,4.14807,155.10466,67.18799,166.42419,238.2771,107.2968,75.2928,-29.530234683333347,0,21.5294558030303,8.542832416345469e-114,8.542830472306245e-114
1053,-16772.59405960,0.00000002,19.440193,20.199656,19.057764,90.031119,90.176100,89.688301,7483.555007,6.752051,23.43902,23.42688,22.97632,23.280739999999998,4.09515,4.12695,4.12927,4.117123333333334,151.59692,66.80847,165.47617,234.5288,101.2410,73.7081,-29.620405133333332,0,21.53158087878787,1.775147816913251e-133,1.7751474129539064e-133
1054,-16776.43285182,0.00000047,19.428468,20.149432,19.122235,89.648502,90.105582,89.989327,7485.677243,6.750137,22.91062,23.44895,23.50517,23.28824666666667,4.11738,4.10711,4.11036,4.1116166666666665,151.70847,65.74911,170.14161,244.9654,107.4475,72.4533,0,-40.05811045833335,21.526824887878792,5.471488415145345e-69,5.471487170032768e-69
1055,-16774.88014707,0.00000120,19.460833,20.169439,19.055545,90.087853,90.052951,90.016596,7479.557415,6.755660,23.05015,23.46398,23.02260,23.17891,4.17163,4.11832,4.13385,4.141266666666667,157.85756,67.40613,171.46309,247.1745,112.5797,74.1084,0,-40.061690800000015,21.528282227272715,4.506233856743567e-95,4.506232831287964e-95
1056,-16773.69890484,0.00000030,19.503393,20.193120,18.995721,90.214115,90.372403,89.618997,7480.792835,6.754544,24.27552,22.78998,23.38639,23.48396333333333,4.14338,4.14776,4.12602,4.139053333333333,152.55924,65.11975,162.48340,232.6390,105.7576,74.4195,0,-40.04085414999999,0,6.453831935723833e-115,6.453830467065453e-115
1057,-16772.37619070,0.00003245,19.531910,20.135663,19.031053,90.221743,90.070758,90.001380,7484.622532,6.751088,23.26697,23.50897,23.68785,23.487930000000002,4.10372,4.06964,4.12127,4.098209999999999,153.52545,65.37421,164.48727,235.6796,107.2942,71.5371,-29.525745949999997,0,21.527920803030288,3.8832745013295984e-137,3.88327361763698e-137
1058,-16774.59627349,0.00000014,19.478470,20.193177,19.015683,90.043129,89.996784,89.852756,7479.453113,6.755754,22.77171,22.97545,22.82199,22.85638333333333,4.11295,4.11227,4.09040,4.105206666666667,154.43609,69.09509,174.01812,245.3362,105.5892,77.4233,-29.60316535,-40.044668275000014,21.542614390909083,7.672686847890091e-100,7.672685101864482e-100
1059,-16771.56739381,0.00000009,19.441147,20.219925,19.017635,89.908420,89.975212,89.886892,7475.779483,6.759074,22.29422,23.58662,23.80179,23.227543333333333,4.11483,4.05874,4.10843,4.094,152.89427,66.31402,163.09519,235.3510,106.0048,74.7448,-29.631806433333335,0,21.505411939393937,1.0046351037677147e-150,1.0046348751491545e-150
106,-16774.62299398,0.00000009,19.441172,20.213470,18.997411,89.990095,90.071187,89.908294,7465.464300,6.768413,23.76359,22.88620,23.93082,23.52687,4.14312,4.11694,4.16399,4.14135,156.34550,67.34254,167.65392,240.5442,106.8731,74.9814,-29.542867466666667,-40.05996882500001,0,2.1569096261687873e-99,2.156909135334283e-99
1060,-16776.26684486,0.00003978,19.418556,20.251023,19.034783,89.751419,89.973545,89.918805,7485.266306,6.750508,23.76699,23.82824,23.53870,23.711309999999997,4.16042,4.11667,4.15288,4.143323333333334,146.50032,65.24574,163.71497,228.2235,99.8837,73.0162,-29.60407578333333,0,0,8.898387181846085e-72,8.898385156895476e-72
1061,-16774.22534420,0.00003168,19.405794,20.210858,19.079979,90.016054,90.102616,90.041832,7483.301188,6.752280,22.44227,21.82084,23.28671,22.516606666666664,4.09864,4.10173,4.09425,4.098206666666666,153.86804,67.58064,171.33998,246.7467,107.6698,76.4721,-29.608312599999998,0,21.546290812121207,4.504116964124502e-106,4.504115939150628e-106
1062,-16772.80803503,0.00000296,19.450687,20.168444,19.034215,89.987650,90.122528,90.066574,7466.911771,6.767101,23.40269,22.81333,23.51996,23.245326666666667,4.15277,4.13332,4.16381,4.149966666666667,155.30324,66.85190,161.96274,233.6506,108.5608,75.9209,-29.60316535,0,21.538531745454545,6.980130416923343e-130,6.980128828498491e-130
1063,-16772.37309444,0.00003609,19.476986,20.156078,19.009651,89.900767,89.954778,90.066877,7462.783797,6.770844,23.55615,23.01797,23.39291,23.322343333333333,4.15187,4.18890,4.18241,4.174393333333334,156.27806,65.62805,161.07512,237.9379,108.8633,73.7871,-29.64468888333332,-40.01490602500001,0,3.444952296207144e-137,3.444951512260783e-137
1064,-16773.30739412,0.00000043,19.417578,20.200523,19.055483,90.097721,89.906542,90.210581,7474.350995,6.760366,22.43631,22.03640,22.85454,22.442416666666663,4.12100,4.12076,4.13273,4.124829999999999,156.38024,66.99558,164.31249,241.0825,109.5535,75.5222,0,-40.08064649166667,21.53886249090909,1.7089408525668275e-121,1.70894046367379e-121
1065,-16770.81182039,0.00000313,19.433865,20.189621,19.021599,89.999633,90.083020,89.870636,7463.333072,6.770346,26.08480,25.18725,24.20998,25.16067666666667,4.17941,4.20727,4.13782,4.174833333333333,153.57525,65.07161,160.75479,237.5303,111.2532,74.8932,0,-40.072378316666615,0,2.0367304234873843e-163,2.0367299600013137e-163
1066,-16772.50421100,0.00002749,19.467087,20.178549,19.037129,90.142734,90.172665,90.137881,7478.039827,6.757031,22.60179,23.30190,22.41480,22.77283,4.15059,4.13929,4.13018,4.14002,155.17857,67.65840,172.09861,244.5995,108.1208,76.5711,-29.556592149999993,-40.05439110833334,21.548468203030325,5.4934411342537055e-135,5.493439884145484e-135
1067,-16772.57548358,0.00000018,19.428442,20.188432,19.058262,90.116852,89.909663,90.006230,7475.192719,6.759605,23.61009,22.76381,22.09354,22.82248,4.12032,4.13740,4.12207,4.126596666666667,152.75455,66.13251,161.96065,236.5256,109.4673,74.9326,-29.54902211666667,0,21.52770257272726,8.653088020803129e-134,8.653086051673724e-134
1068,-16773.43584754,0.00000009,19.370710,20.223883,19.099412,89.951604,90.018022,89.704043,7482.110022,6.753355,22.30714,22.34590,22.31325,22.322096666666667,4.11737,4.09019,4.10899,4.105516666666667,149.69810,66.67188,178.85156,250.5112,105.4500,76.2331,0,-40.03792907500001,21.53483224848485,2.4583828165793168e-119,2.4583822571404342e-119
