taskid,energy,Gnorm,a,b,c,alpha,beta,gamma,V,Static_xx,Static_yy,Static_zz,ε0,HighFreq_xx,HighFreq_yy,HighFreq_zz,ε∞,Bulk0,Shear0,Young0,C11,C12,C44,V_La_avg,V_Ce_avg,V_O_avg,Weight,Wi
1013,-15916.70810376,0.00000027,19.524929,20.226988,19.206565,89.797946,89.972975,89.896305,7585.198002,6.621247,20.98043,21.96862,21.81328,21.58744333333333,3.96641,3.93141,3.96380,3.9538733333333336,143.85443,64.28544,170.06200,236.1148,101.3922,66.8559,-29.50199428749999,-39.98154221,21.44203052187499,1.3674547350610243e-160,1.3673813496536604e-160
1014,-15923.07429657,0.00007378,19.516537,20.280696,19.164207,89.903801,89.901471,90.107558,7585.329322,6.621133,22.46537,21.64467,21.87910,21.99638,3.97804,3.96931,3.92560,3.9576499999999997,142.01474,63.30751,160.82677,221.0709,96.6953,69.5540,-29.434773125000014,-40.01270014000002,0,1.2112815931273586e-53,1.21121658886004e-53
1015,-15920.45423643,0.00003772,19.491896,20.336409,19.131788,90.089418,89.901924,90.383232,7583.558260,6.622679,21.37077,21.41039,21.34205,21.374403333333333,3.96519,3.95621,3.93290,3.9514333333333336,148.11386,65.07706,169.54954,235.1410,103.2775,70.7981,-29.456640524999994,-40.01413593999999,21.41390959375,1.1699626338745712e-97,1.169899847017876e-97
1016,-15917.87731582,0.00000070,19.496751,20.405986,19.076953,89.836063,90.034547,89.930890,7589.735842,6.617288,21.23333,22.37102,21.18153,21.59529333333333,3.92186,3.93808,3.92335,3.9277633333333335,147.95617,64.90427,166.07070,233.5805,104.1993,69.7219,-29.46029262500001,-40.00142012000001,21.43923231250001,5.995302113142077e-141,5.994980371093465e-141
1017,-15921.63869101,0.00006179,19.510666,20.297467,19.127236,90.331288,90.356467,90.017380,7574.438590,6.630653,20.75547,21.25118,20.79825,20.934966666666668,3.94524,3.98286,3.96644,3.964846666666667,147.27622,65.26479,167.40686,234.4153,102.7964,71.7427,-29.50852368750001,-39.97803411000001,21.42520665312501,9.249817643175907e-78,9.249321245292758e-78
1018,-15917.35000764,0.00000120,19.573641,20.245250,19.138510,89.934308,89.921392,90.043078,7584.065282,6.622236,21.37785,20.73082,21.16156,21.09007666666667,3.91793,3.91029,3.94942,3.92588,144.47253,63.66749,162.73561,226.3256,98.2326,64.4777,-29.472265424999982,0,21.455492921874992,8.306604462954916e-150,8.30615868326167e-150
1019,-15921.90801969,0.00000004,19.469753,20.341607,19.167747,89.659374,90.096387,89.894528,7591.152824,6.616053,22.40649,21.12315,20.53551,21.355050000000002,3.96644,3.94807,3.95380,3.9561033333333335,146.39096,64.93269,164.86496,230.9227,98.8209,69.8972,-29.432633112500003,0,21.451754503124995,3.094965826327791e-73,3.09479973283883e-73
102,-15920.83137764,0.00002125,19.494906,20.260598,19.193245,89.877931,90.252107,89.597302,7580.639695,6.625229,21.33630,22.62695,20.85305,21.605433333333334,3.95796,3.96459,3.96138,3.9613099999999997,147.61348,63.95785,162.25950,233.6451,102.4239,67.3873,-29.41081041249999,-40.05117422000001,21.424892609375004,2.5343434419000647e-91,2.5342074346004334e-91
1020,-15918.33948001,0.00002850,19.549104,20.288657,19.086003,90.274525,90.098238,90.195877,7569.844684,6.634676,21.81748,21.70554,22.38908,21.970700000000004,3.95729,3.97670,3.96520,3.9663966666666663,147.64459,64.71181,166.89505,234.8466,103.9305,70.5688,0,-40.00332359999999,21.428206246875003,3.481991838300621e-133,3.481804974792133e-133
1021,-15916.73527260,0.00000041,19.513677,20.282322,19.146383,90.006488,90.155112,89.997864,7577.778998,6.627730,21.82859,20.41833,20.43719,20.894703333333336,3.95075,3.90137,3.92566,3.925926666666667,146.00788,64.25923,162.79170,226.8273,99.2883,69.6184,-29.519397737500004,-39.978072870000005,21.454289253125005,3.911374348547649e-160,3.9111644419287595e-160
1022,-15915.60186366,0.00000005,19.573170,20.302600,19.104423,89.738645,89.800125,89.584688,7591.510981,6.615741,21.27175,21.68766,20.94878,21.30273,3.93804,3.94278,3.94783,3.942883333333333,144.02627,63.92385,153.38755,220.1155,101.1084,67.9182,-29.41081041249999,-40.05117422000001,21.424892609375004,3.563667805864663e-179,3.563476559158693e-179
1023,-15916.51305319,0.00000005,19.537028,20.251871,19.138464,90.137661,89.741543,90.333574,7572.124273,6.632679,21.93154,21.77160,22.57015,22.09109666666667,3.97741,4.00425,3.97648,3.9860466666666667,147.96632,64.37501,162.42139,228.3613,101.2592,68.2182,0,-39.997226299999994,21.409534328125016,7.231153827253317e-164,7.230765762364792e-164
1024,-15915.69279870,0.00000002,19.467533,20.256698,19.218522,90.068695,90.012395,90.114034,7578.764088,6.626868,22.86216,21.78516,21.71194,22.119753333333335,3.93560,3.91872,3.96040,3.93824,142.24546,63.68554,163.71137,228.8770,100.5696,68.1889,0,-40.03734112000002,0,1.2009879498079127e-177,1.2009234979561066e-177
1025,-15921.23097440,0.00000332,19.508018,20.301387,19.145720,90.217589,90.113272,89.828373,7582.364227,6.623722,21.66822,20.98723,22.07743,21.577626666666664,3.98563,3.95849,3.98106,3.9750599999999996,147.60127,64.26539,168.42315,235.1098,104.4807,68.3551,-29.50852368750001,-39.97803411000001,0,1.3085658472033112e-84,1.3084956221089827e-84
1026,-15917.04571661,0.00001557,19.503590,20.346459,19.100755,89.901418,89.955536,90.381746,7579.551817,6.626179,21.46219,22.81425,20.88667,21.721036666666667,3.95318,3.93517,3.94542,3.94459,147.21669,63.13235,169.81271,238.7973,101.1059,64.9439,-29.511999262499995,-39.98467664999998,21.453805637499997,6.420357547772619e-155,6.420012994829121e-155
1027,-15920.70205228,0.00000056,19.577317,20.331734,19.057867,90.120470,89.879766,89.921208,7585.768086,6.620750,21.79180,20.66602,21.60037,21.352729999999998,3.92586,3.92530,3.93830,3.92982,142.64800,64.87504,161.62362,223.2361,98.5280,70.6812,-29.528949662499976,-40.018082090000014,0,1.7033152741516515e-93,1.7032238645553718e-93
1028,-15917.28017363,0.00002295,19.561477,20.179737,19.201801,90.258080,89.856452,89.850926,7579.697049,6.626053,22.87719,21.47652,21.72420,22.02597,3.97132,3.93274,3.96702,3.9570266666666662,145.24091,62.12454,158.20762,226.4471,103.7528,66.6098,-29.528949662499976,-40.018082090000014,21.414608115624997,5.575242949041969e-151,5.574943749759918e-151
1029,-15917.82596975,0.00005209,19.494235,20.221203,19.211815,90.031275,89.909205,89.683419,7573.110925,6.631815,20.42557,21.04263,21.34292,20.93704,3.95831,3.90171,3.95147,3.937163333333334,147.24277,65.97450,168.26229,233.5483,101.8777,67.6587,-29.428344649999996,-40.04543254,21.435503240624982,8.226878078714043e-142,8.226436577592536e-142
