taskid,energy,Gnorm,a,b,c,alpha,beta,gamma,V,Static_xx,Static_yy,Static_zz,ε0,HighFreq_xx,HighFreq_yy,HighFreq_zz,ε∞,Bulk0,Shear0,Young0,C11,C12,C44,V_La_avg,V_Ce_avg,V_O_avg,Weight,Wi
1725,-15921.34550535,0.00003279,19.532283,20.321107,19.097294,90.099678,90.025030,90.025015,7580.039430,6.625753,21.37059,21.85788,21.82853,21.685666666666666,3.99080,3.93787,3.96894,3.9658700000000002,145.01452,65.30455,167.81777,231.0851,98.6368,68.8207,-29.43301053749999,-40.03458005,21.442652418749994,1.0985779026242169e-82,1.098518946678665e-82
1726,-15916.42529544,0.00000000,19.525396,20.276678,19.154474,89.927313,89.974730,90.309622,7583.333433,6.622875,20.79299,21.59070,21.10554,21.16307666666667,3.95891,3.92401,3.94576,3.9428933333333336,145.71827,64.30945,167.27289,235.3815,104.0109,69.3776,-29.53060475000001,-40.00028028999999,0,2.426287645599631e-165,2.4261574371892985e-165
1727,-15919.25348965,0.00004195,19.538935,20.227106,19.219269,90.291332,89.828966,90.050985,7595.629706,6.612154,22.63285,22.65464,22.42284,22.57011,3.91782,3.91153,3.90951,3.912953333333333,141.01298,62.18236,160.49110,228.9663,99.2376,66.7683,0,0,21.442228731249998,7.879776480053921e-118,7.879353606380593e-118
1728,-15918.03978272,0.00000045,19.509435,20.286980,19.138197,90.165329,89.613836,90.302006,7574.351500,6.630729,21.84362,21.56247,22.24608,21.88405666666667,3.98795,3.97445,3.96875,3.97705,144.59424,63.58586,160.66856,227.2927,105.7017,70.3703,0,0,21.422006371875014,3.214658677406687e-138,3.214486160517807e-138
1729,-15915.84313099,0.00003263,19.499566,20.274049,19.160283,90.086787,90.086882,89.603944,7574.535283,6.630568,24.98919,22.14313,22.28646,23.139593333333334,3.98393,3.98547,3.91666,3.9620200000000003,142.73539,60.58736,151.17674,217.1511,101.6811,64.3272,-29.45489845,-40.021704339999985,0,4.0272627848886584e-175,4.027046659036407e-175
173,-15916.10617988,0.00003188,19.611274,20.270605,19.115653,90.321912,90.150659,90.086434,7598.936130,6.609277,20.63501,20.44729,20.14703,20.40977666666667,3.92648,3.89977,3.90344,3.9098966666666666,147.09297,65.29140,161.62961,225.1295,101.1644,70.8902,0,-40.00671309000002,0,1.0569071288057468e-170,1.0568504091511912e-170
1730,-15917.77760446,0.00000012,19.494572,20.252058,19.175001,89.993166,89.942356,90.336121,7570.256245,6.634316,21.96855,21.32017,21.33231,21.54034333333333,3.93766,3.95640,3.93584,3.9432999999999994,146.29784,63.36174,159.95433,227.1540,103.6032,68.4126,0,0,21.422032143749995,1.2668755354589843e-142,1.2668075477041686e-142
1731,-15918.95506574,0.00000028,19.587538,20.242080,19.148996,90.087295,89.815487,90.115147,7592.369901,6.614993,21.66446,21.73589,22.62908,22.00981,3.94947,3.94979,3.96545,3.9549033333333337,146.00213,61.65805,162.70607,233.2845,103.9743,65.2234,0,-40.00671309000002,0,7.642102522596461e-123,7.641692403861004e-123
1732,-15918.39912257,0.00000016,19.484646,20.324893,19.099711,90.027618,89.979878,89.889158,7563.916072,6.639877,23.45792,21.24956,21.52687,22.07811666666667,3.97744,3.99664,3.98132,3.9851333333333336,152.31507,63.47671,169.22844,241.5111,105.4531,67.9988,-29.475566612499996,-40.036650640000005,21.428382515624993,3.497668599641321e-132,3.4974808948285566e-132
1733,-15917.22279683,0.00000072,19.479024,20.337810,19.150424,89.571464,89.636327,90.115782,7586.264049,6.620317,20.69017,21.11708,20.52581,20.777686666666664,3.98069,3.91746,3.94340,3.9471833333333333,142.97113,63.60026,173.33293,237.8818,98.3481,67.7367,0,-40.02908690000001,0,6.058651616462583e-152,6.058326474718911e-152
1734,-15917.10788958,0.00001571,19.540756,20.305239,19.164909,90.090629,90.007818,89.727269,7604.151534,6.604744,21.67234,20.97273,20.41423,21.019766666666666,3.90124,3.90620,3.88807,3.8985033333333328,140.93289,63.86611,159.30389,219.7405,96.4917,68.8684,-29.474805149999998,-40.00151251000001,0,7.11244860011455e-154,7.112066905624421e-154
1735,-15918.31541084,0.00000003,19.530179,20.297300,19.119766,90.070863,90.092681,90.056858,7579.245263,6.626447,21.18772,21.19488,20.96582,21.116139999999998,3.96100,3.93887,3.92164,3.9405033333333335,145.74712,63.63173,160.47712,226.1741,104.5844,69.3864,-29.45489845,-40.021704339999985,21.40918966250003,1.3724087841893242e-133,1.3723351329194757e-133
1736,-15919.95762387,0.00000001,19.535494,20.326879,19.095670,89.950776,90.049721,90.096696,7582.790574,6.623349,20.46812,21.22557,21.28158,20.99175666666667,3.95399,3.93107,3.96212,3.94906,147.98907,66.16585,168.54086,232.9074,99.8877,69.0769,0,0,21.45293573125,5.314325729860558e-106,5.314040532882149e-106
1737,-15918.24702838,0.00000005,19.504056,20.334442,19.150952,89.848552,89.973685,90.274220,7595.231563,6.612500,20.52252,20.93997,20.69056,20.717683333333337,3.93242,3.94862,3.93939,3.9401433333333333,147.80081,63.94377,164.65036,231.7331,105.3678,65.0625,-29.435281175,-40.020601809999995,21.439206015625018,9.743359386026472e-135,9.742836501883178e-135
1738,-15921.80469149,0.00000011,19.499033,20.319670,19.144625,89.948190,90.238160,90.079523,7585.290743,6.621166,21.39410,20.65655,21.88505,21.3119,3.95935,3.93584,3.92974,3.941643333333333,144.24956,64.40957,162.13031,227.8728,97.6400,68.2071,-29.445407425000006,0,0,5.68615242140074e-75,5.685847270084884e-75
1739,-15920.35583167,0.00000068,19.503350,20.240250,19.263851,90.221552,89.944874,90.073287,7604.390152,6.604536,23.43717,22.02888,21.78227,22.416106666666664,3.97994,3.96543,3.94513,3.9635,144.82960,61.68798,154.21824,220.4576,98.7613,65.3790,-29.43207188750001,0,21.42991895000001,2.6004276923496877e-99,2.600288138592894e-99
174,-15917.01050055,0.00000007,19.518438,20.263161,19.245859,89.804530,90.145166,90.202595,7611.722107,6.598174,21.91820,22.08041,21.00145,21.666686666666664,3.93423,3.91962,3.92943,3.9277599999999997,144.02859,63.50100,165.94798,230.5694,100.1715,62.9405,-29.381530774999995,-40.037143709999995,21.438044043749976,1.6442030315218337e-155,1.6441147942250783e-155
1740,-15914.43983496,0.00000034,19.523481,20.233994,19.186659,90.064262,90.071607,89.913081,7579.440140,6.626277,20.87839,20.87739,20.22273,20.659503333333333,3.97908,3.93224,3.98554,3.96562,146.90373,64.60779,167.78116,232.6415,99.7596,69.9287,-29.43301053749999,0,0,1.0731841181444574e-198,1.0731265249739726e-198
1741,-15920.81302098,0.00003140,19.483539,20.325258,19.153016,89.996157,90.385071,90.169590,7584.542439,6.621819,22.05200,21.91005,21.35756,21.77320333333333,3.96888,3.94881,3.97953,3.9657400000000003,145.99761,65.71431,171.84365,233.1950,99.5131,69.1984,-29.474805149999998,-40.00151251000001,21.44260745625001,1.2459113799357752e-91,1.2458445172369146e-91
1742,-15918.57653027,0.00004494,19.597668,20.273855,19.075461,89.665541,89.783282,90.021406,7578.883516,6.626764,21.33905,22.12613,21.06250,21.509226666666667,3.95271,3.92543,3.94271,3.9402833333333334,145.73595,64.37001,161.83484,230.6304,103.9806,67.5229,-29.45489845,-40.021704339999985,21.40918966250003,3.3426957260032324e-129,3.342516337917282e-129
1743,-15919.80838122,0.00000409,19.580942,20.274239,19.088303,90.275278,89.905740,89.837168,7577.712009,6.627788,21.48960,21.62304,21.82410,21.64558,3.98204,3.96080,3.95510,3.96598,147.10684,65.50075,168.89802,231.7673,98.3787,70.6518,0,0,21.434869537499992,1.6530348033203693e-108,1.652946092060451e-108
1744,-15917.96657758,0.00000008,19.545265,20.262820,19.150881,89.730689,89.803154,89.859460,7584.406014,6.621939,21.84649,21.27210,21.31347,21.47735333333333,3.93596,3.91246,3.97002,3.9394799999999996,144.21902,62.72396,147.74610,215.8857,96.6672,68.4534,-29.474805149999998,-40.00151251000001,0,1.893837196718723e-139,1.8937355626312474e-139
1745,-15918.93663451,0.00000010,19.543146,20.341166,19.125182,89.896345,89.543783,90.505509,7602.290575,6.606360,20.86529,19.92153,20.05767,20.28149666666667,3.90557,3.89912,3.93210,3.912263333333333,142.77357,65.16544,161.07422,222.0932,95.5293,69.6449,-29.395677437499984,0,21.444054799999996,3.746121193201768e-123,3.745920155008145e-123
1746,-15914.73175156,0.00006049,19.588402,20.314490,19.110410,90.009205,89.610403,89.987240,7604.398833,6.604529,22.41558,21.69770,21.68936,21.934213333333332,3.89659,3.93532,3.87896,3.9036233333333334,141.51144,61.77993,154.50402,219.4709,97.5524,65.7078,-29.445604624999998,-40.02916389000001,21.436586259374995,8.603145720784661e-194,8.602684026999014e-194
1747,-15918.91915235,0.00000002,19.526538,20.286985,19.122142,89.989729,90.163452,89.882618,7574.894853,6.630253,20.83512,23.04574,21.66752,21.849459999999997,3.95511,3.98510,3.96123,3.967146666666667,145.18833,64.96868,168.36134,232.9769,102.7015,68.0810,-29.449319712499992,-40.02353161,21.435385021875003,1.9049977250933994e-123,1.9048954920684232e-123
1748,-15918.77216792,0.00004799,19.493746,20.291793,19.141140,89.929198,90.040455,90.174491,7571.485464,6.633239,23.30241,21.49571,22.07402,22.290713333333333,3.97765,3.97331,3.97053,3.97383,144.12673,61.86933,158.42638,221.7558,98.9909,65.9955,-29.490794125,-39.99568892999999,21.427754078125,6.46643200172962e-126,6.466084976168575e-126
1749,-15918.57553297,0.00000009,19.492233,20.296156,19.206045,89.759451,90.009012,89.844572,7598.150576,6.609960,22.01823,20.54859,20.94584,21.170886666666664,3.97152,3.98756,3.94089,3.9666566666666667,141.78635,62.67713,157.59381,221.1655,95.6789,68.5080,-29.517118399999998,0,21.42957421250001,3.2161992288078744e-129,3.216026629244234e-129
175,-15916.69314286,0.00000007,19.555327,20.290831,19.129988,89.924023,90.096723,89.679807,7590.525346,6.616600,23.84483,22.12562,20.93180,22.300749999999997,3.97093,3.93321,3.91218,3.9387733333333337,148.04809,64.53116,166.06452,233.5457,105.5121,66.7206,-29.47532912500001,-40.00948209000001,21.42779614062501,7.666213345822937e-161,7.66580193316342e-161
1750,-15924.52038967,0.00000043,19.527098,20.317410,19.061797,90.042555,89.912842,89.831699,7562.535161,6.641089,23.07775,21.19207,21.74257,22.004130000000004,4.00910,3.99314,3.99692,3.99972,147.68251,65.66526,168.13010,233.8996,103.1385,68.1226,0,-40.002235019999986,21.4192686875,2.3797973804952808e-29,2.3796696670172887e-29
1751,-15915.22085306,0.00017544,19.459642,20.232092,19.257125,90.004122,90.201341,89.984367,7581.661413,6.624336,21.43007,20.60248,21.91347,21.315340000000003,3.97304,3.96160,3.95839,3.9643433333333333,143.06205,63.67702,165.15524,229.7591,98.8352,68.3056,-29.43942125,-40.02939576000001,21.43757601250001,1.4164486868432713e-185,1.4163726721414836e-185
1752,-15916.74429739,0.00004089,19.470160,20.284818,19.157940,89.806387,89.991597,90.131122,7566.339562,6.637750,20.95943,21.18048,21.54681,21.228906666666667,3.95399,3.95918,3.96762,3.9602633333333337,148.93664,65.06335,170.98555,240.2336,107.0731,68.8298,-29.571660399999992,-39.95909518,21.436778150000002,5.545480499748244e-160,5.5451828976886895e-160
1753,-15919.02179049,0.00000011,19.569664,20.292993,19.126186,90.192069,89.945029,90.061095,7595.475364,6.612288,20.64283,20.52553,21.45416,20.874173333333335,3.92365,3.97438,3.97911,3.959046666666667,147.07676,64.80528,161.44035,226.1789,99.2360,70.4359,-29.422466625,-40.04362435,21.427099584375004,1.0095767131113198e-121,1.0095225334763694e-121
1754,-15918.56059575,0.00000036,19.458679,20.280144,19.161801,90.032976,90.133904,89.886588,7561.685335,6.641836,21.74412,22.98592,22.10816,22.2794,4.01273,3.94797,4.01001,3.9902366666666667,145.83394,63.98864,166.05874,237.6460,103.8006,71.6707,0,-40.006565419999994,0,1.8047152648840276e-129,1.804618413586874e-129
1755,-15922.83342959,0.00000024,19.483731,20.272975,19.170669,89.915847,90.201618,89.753298,7572.158074,6.632650,20.84754,21.44155,20.51185,20.933646666666665,3.97543,3.95484,3.99458,3.9749499999999998,150.86498,65.28087,167.65312,240.2151,106.5180,66.8309,-29.5007301125,0,21.41394619062502,1.0885739729590927e-57,1.0885155538813688e-57
1756,-15915.83420422,0.00005983,19.515510,20.218030,19.221396,89.856311,90.358263,90.000825,7583.920982,6.622362,20.03045,20.90438,21.44156,20.79213,3.95093,3.92906,3.92340,3.9344633333333334,141.85207,63.15813,167.32184,236.4769,102.1806,66.9935,-29.43301053749999,0,0,2.8513257304292155e-175,2.851172712055086e-175
1757,-15923.40674827,0.00006606,19.497486,20.294764,19.126816,90.106915,90.003116,89.989206,7568.408348,6.635936,21.06086,22.64871,20.61847,21.44268,3.99972,3.98888,4.01457,4.001056666666667,144.63965,64.45046,160.37287,221.1624,96.1220,69.5656,-29.467038199999983,-40.00697843999999,0,4.657875421120099e-48,4.6576254530030825e-48
1758,-15913.90632288,0.00004107,19.535239,20.329170,19.127267,89.837472,90.323727,90.105920,7595.946384,6.611878,21.09688,21.82348,21.67905,21.533136666666667,3.91351,3.89026,3.93555,3.9131066666666663,134.86115,63.78781,157.94675,212.5492,88.8973,67.3521,0,-39.99255774000001,21.477197946874988,1.1696764940392942e-207,1.169613722538492e-207
1759,-15920.07170002,0.00000003,19.435402,20.371046,19.157722,89.779278,90.357870,89.971063,7584.709651,6.621673,20.77291,21.50032,20.69651,20.989913333333334,3.95340,3.93665,3.96474,3.951596666666667,144.13902,63.96118,166.65456,231.6416,99.8435,68.9320,-29.395677437499984,-40.002235019999986,0,4.38372340514603e-104,4.3834881495872103e-104
176,-15919.45644170,0.00005274,19.508058,20.320925,19.130100,89.916143,89.773806,90.296293,7583.419876,6.622800,21.05551,21.20981,21.42070,21.228673333333333,3.96070,3.96036,3.97744,3.9661666666666666,148.96022,65.71590,168.26766,232.8114,99.4128,71.0683,-29.411261787500006,-40.05219949,21.448271874999982,2.0228248453196274e-114,2.0227162890204728e-114
1760,-15918.63381164,0.00000013,19.447311,20.280413,19.207597,89.773097,89.951006,90.094888,7575.393922,6.629816,21.97011,21.70456,21.98165,21.88544,3.96892,3.96213,3.94123,3.9574266666666666,146.07618,64.30248,166.95910,237.9035,103.5785,70.0939,0,-39.985479829999996,21.437683146874992,3.0646544202290864e-128,3.06448995342277e-128
1761,-15920.89450988,0.00000011,19.497755,20.262283,19.170039,90.074874,89.787502,90.166892,7573.398341,6.631563,20.62739,21.66498,20.34857,20.880313333333334,3.95669,3.95523,3.97667,3.9628633333333334,143.07773,63.51503,166.20227,237.3958,104.6644,67.0013,-29.473439612499995,-40.01668051,21.419412634374993,2.9136703944862548e-90,2.9135140303424616e-90
1762,-15915.97457685,0.00000350,19.533737,20.336048,19.171312,90.292772,89.659375,90.363727,7615.206952,6.595155,21.08024,20.22561,20.21663,20.507493333333333,3.88425,3.88047,3.88060,3.8817733333333333,141.45930,63.72461,160.24502,219.1630,91.2193,70.9011,-29.449319712499992,-40.02353161,0,6.504339897900533e-173,6.503990837985933e-173
1763,-15918.58687460,0.00000022,19.529858,20.324320,19.115296,90.095248,89.833342,90.001423,7587.413026,6.619314,20.19659,20.16073,20.15959,20.172303333333335,3.94446,3.95263,3.95148,3.9495233333333335,143.97578,64.57636,164.15016,226.3461,98.1645,72.0186,-29.467038199999983,-40.00697843999999,21.454976771874986,4.987397022230503e-129,4.987129370108076e-129
1764,-15918.32246581,0.00001129,19.526510,20.370731,19.119287,89.937973,89.912622,90.163740,7605.020574,6.603989,23.75211,20.78849,21.01071,21.850436666666667,3.91438,3.91242,3.92281,3.916536666666667,142.17304,61.72717,153.34725,217.9749,98.8246,65.1369,-29.4324379125,-40.012490590000006,21.452552471875013,1.80302508432839e-133,1.802928323735949e-133
1765,-15920.95195737,0.00002776,19.548935,20.295173,19.104806,90.281599,89.937806,89.931404,7579.711355,6.626040,22.06493,21.84142,20.89364,21.59999666666667,3.96267,3.96801,3.96572,3.9654666666666665,146.10843,64.04189,160.13412,224.4001,99.8530,72.3834,-29.5007301125,-39.99255774000001,21.477197946874988,2.688535513306555e-89,2.688391231182403e-89
1766,-15916.43583017,0.00005332,19.578843,20.240715,19.148692,90.052040,89.963214,90.256604,7588.350150,6.618497,22.40965,22.87785,23.02341,22.77030333333333,3.93297,3.94773,3.93755,3.9394166666666663,145.12582,62.38102,163.42318,229.1458,102.0551,68.1303,-29.490444737500013,-39.99516116999998,21.432625506249998,3.646850513020394e-165,3.6466548022567165e-165
1767,-15915.48743260,0.00000051,19.620454,20.260235,19.072870,90.234846,89.771616,90.308183,7581.518974,6.624460,20.97368,22.34845,20.91989,21.414006666666666,3.89601,3.91249,3.95233,3.9202766666666666,140.04027,63.59796,149.67010,210.2289,91.6923,70.3495,0,0,21.41165526874999,4.261279433052334e-181,4.261050748534253e-181
1768,-15917.10965283,0.00000054,19.569227,20.228560,19.195200,90.102182,89.804618,89.830346,7598.469871,6.609682,21.16444,21.82617,20.67563,21.222080000000002,3.95033,3.94332,3.89775,3.9304666666666663,143.19691,64.00636,166.58966,231.7024,102.8247,67.7730,-29.44203588749999,-39.99255678,21.445725581250013,7.614483276216807e-154,7.614074639687375e-154
1769,-15918.81277888,0.00001052,19.510109,20.326406,19.113692,89.770484,90.106176,90.276017,7579.762752,6.625995,21.79006,20.68163,22.34947,21.60705333333333,3.93205,3.95178,3.93547,3.939766666666667,144.82357,63.03570,159.14347,228.6526,102.4511,67.3645,0,0,21.41165526874999,3.110991439304312e-125,3.110824485789709e-125
177,-15917.78699251,0.00000000,19.632996,20.244660,19.091373,90.131755,89.904146,90.121163,7588.072979,6.618738,21.50082,20.86813,22.13926,21.502736666666664,3.96711,3.98620,3.99805,3.983786666666667,146.08880,62.95249,163.75341,229.7307,104.1780,66.6968,0,-40.02353161,21.420192793749997,1.821571606914328e-142,1.821473851009881e-142
1770,-15915.20837510,0.00000000,19.538381,20.283702,19.167921,90.435299,90.056766,89.913077,7596.220584,6.611639,21.19707,23.03753,25.92534,23.386646666666667,3.94169,3.93170,3.92682,3.933403333333333,142.70942,62.91482,163.99149,230.1813,103.2094,66.3120,-29.490794125,-39.99568892999999,21.427754078125,8.741386924935783e-186,8.740917812339977e-186
1771,-15916.66370423,0.00001637,19.523369,20.228398,19.190759,90.001694,90.187429,89.879678,7578.881406,6.626766,21.67073,20.05207,22.06065,21.26115,3.96392,3.95964,3.95926,3.9609400000000003,147.26321,62.68383,159.32146,230.9150,105.1103,68.0351,-29.455348574999988,-39.98651599,21.435963431249995,2.454899308914196e-161,2.454767565039095e-161
1772,-15919.72651860,0.00000010,19.506202,20.333150,19.112046,90.120708,90.228596,89.791930,7580.141075,6.625664,20.69022,21.26699,20.67587,20.877693333333337,3.96160,3.97878,3.94992,3.963433333333333,149.11897,65.17483,170.37742,237.6740,103.1763,71.4291,-29.490794125,-39.99568892999999,21.427754078125,6.967075376239059e-110,6.966701483303877e-110
1773,-15922.08432961,0.00000016,19.590893,20.192228,19.146316,90.149618,90.128286,90.169440,7573.894089,6.631129,21.62147,22.26593,20.68665,21.524683333333332,3.98459,3.99296,3.99773,3.9917599999999998,146.25703,64.11565,160.16766,224.7078,103.3521,67.1264,-29.465060375,-40.01925176000002,21.418075568750005,2.8348635088866717e-70,2.834711373969086e-70
1774,-15916.67002392,0.00000007,19.486717,20.262384,19.225720,89.857720,90.252533,90.220015,7591.071684,6.616124,20.83532,20.92720,22.26165,21.34139,3.96755,3.94455,3.91878,3.943626666666667,144.70958,64.77313,168.23346,236.6393,101.9050,67.6693,0,0,21.437113778124992,3.1347275657512895e-161,3.134559338420988e-161
1775,-15916.40167857,0.00000013,19.459843,20.235827,19.225030,89.819996,89.925029,89.500461,7570.216676,6.634350,21.24067,21.56310,22.07327,21.62568,3.96210,3.98172,3.96076,3.9681933333333337,145.56767,63.99587,159.64379,229.4484,103.2941,69.5919,-29.449319712499992,0,21.435385021875003,9.731870758018635e-166,9.731348490420535e-166
1776,-15919.77970244,0.00000094,19.598011,20.265896,19.087532,90.063916,89.963421,89.866697,7580.992260,6.624920,22.31295,21.66864,22.77594,22.25251,3.99526,3.99999,4.03306,4.009436666666667,147.82874,64.12137,160.34677,229.3985,104.0260,66.5794,-29.4552722625,-39.99281352999999,21.43587832187501,5.451295165857587e-109,5.451002618319339e-109
1777,-15916.11094503,0.00000022,19.577383,20.271172,19.114271,90.156195,90.063162,89.991558,7585.589615,6.620905,23.33528,21.90274,22.44706,22.561693333333334,3.95523,3.93962,3.90847,3.93444,145.63820,62.97950,154.89407,220.8002,103.8300,68.2399,-29.467038199999983,-40.00697843999999,0,1.2708310693167786e-170,1.2707628692854932e-170
1778,-15919.20684670,0.00000031,19.588878,20.317969,19.081604,89.986557,90.041157,90.003323,7594.594781,6.613055,20.02502,23.10102,21.57022,21.56542,3.95158,3.93509,3.94710,3.9445900000000003,143.98025,63.61932,164.66212,232.4996,100.3300,70.4765,-29.407976099999996,-40.057114860000006,0,1.297020455096148e-118,1.2969508495932994e-118
1779,-15914.90138733,0.00000013,19.506772,20.323945,19.171037,89.886406,89.987343,89.651694,7600.289540,6.608100,20.34804,21.18219,20.27406,20.60143,3.88901,3.87846,3.90645,3.8913066666666665,146.39079,64.08254,168.36729,233.6650,99.4141,70.3171,-29.465060375,-40.01925176000002,0,6.087132978479488e-191,6.086806308263758e-191
178,-15916.46402872,0.00000000,19.470908,20.332298,19.123234,90.071055,90.123911,90.187458,7570.600308,6.634014,22.86997,23.54139,23.22270,23.211353333333335,3.99408,3.96640,3.94532,3.9686000000000003,144.97919,61.63431,155.14278,221.7275,103.2168,69.6102,-29.417717387499994,-40.03620561000002,0,1.085507309316432e-164,1.0854490548133408e-164
1780,-15913.38388752,0.00001405,19.568272,20.308604,19.105369,89.968689,89.758507,90.446995,7592.255727,6.615092,20.70191,20.77711,21.13620,20.871740000000003,3.87384,3.91401,3.93791,3.908586666666667,138.77600,63.65578,158.64127,215.0649,89.9657,69.1801,-29.528141562499997,-39.9572909,21.423640562500005,1.9567619455646696e-216,1.956656934576878e-216
1781,-15919.75296972,0.00000103,19.543593,20.272051,19.156075,89.836188,90.083253,89.809898,7589.340087,6.617633,20.67291,21.99952,19.85383,20.84208666666667,3.93556,3.92783,3.96181,3.9417333333333335,146.19088,64.86490,164.00520,231.2865,101.4436,68.6004,-29.43942125,-40.02939576000001,21.43757601250001,1.9382498885731404e-109,1.9381458710477344e-109
1782,-15920.12324857,0.00004547,19.576003,20.293594,19.142387,90.074201,89.907378,90.090633,7604.621360,6.604335,21.23596,21.21980,20.88368,21.113146666666665,3.92805,3.89288,3.92500,3.91531,143.95755,64.86390,173.89626,239.1602,100.4651,69.2253,-29.436081275,-40.00777152,21.453731103125005,3.2197390143214205e-103,3.219566224792734e-103
1783,-15921.51906690,0.00000026,19.450853,20.320028,19.151218,89.928936,89.975345,90.113083,7569.342268,6.635117,21.33860,21.73469,22.88949,21.987593333333333,3.98787,4.00381,3.94568,3.97912,147.78717,63.63367,159.59095,229.9373,103.2821,67.5024,0,0,0,9.04766622606643e-80,9.047180676779373e-80
1784,-15917.05577113,0.00000090,19.453829,20.387100,19.169367,89.495519,89.968021,90.205513,7602.363481,6.606297,20.81850,20.57001,20.90127,20.76326,3.92474,3.91496,3.93408,3.9245933333333336,142.33086,61.72435,157.61563,224.6391,101.0430,65.4707,0,-40.03337951,0,9.472567667316352e-155,9.47205931539857e-155
1785,-15919.08020843,0.00000019,19.455233,20.301960,19.205496,89.728763,90.066685,89.673083,7585.560606,6.620931,21.42094,20.67866,22.18720,21.428933333333333,3.99703,3.96599,3.97484,3.979286666666667,148.23367,64.83762,169.69498,235.6517,104.4128,69.6321,0,0,21.442944553125024,9.672027516100234e-121,9.671508460031242e-121
1786,-15919.11875192,0.00000008,19.545770,20.254058,19.135989,90.036377,90.056571,89.984974,7575.572278,6.629660,21.12868,21.28980,21.29498,21.23782,3.99130,3.99496,3.96566,3.983973333333333,145.70228,62.59106,153.07054,220.6118,102.9727,69.4868,-29.455010600000016,-40.02546636,21.425457190625004,4.295558688595442e-120,4.295328164457322e-120
1787,-15918.65905855,0.00000052,19.541613,20.319886,19.137749,90.210434,90.010324,90.087599,7599.221144,6.609029,20.46464,22.04172,20.39277,20.966376666666665,3.90968,3.94451,3.94042,3.9315366666666667,143.66094,63.45755,161.01519,223.2309,97.9686,70.9287,-29.425989937499985,-40.0230321,21.43583368437499,8.137873415463629e-128,8.137436690839144e-128
1788,-15917.83688321,0.00000013,19.517090,20.236971,19.201620,90.086479,89.806059,89.758949,7583.882353,6.622396,21.44702,21.31603,20.52195,21.095,3.98997,3.97096,3.94679,3.9692399999999997,145.78685,63.62770,166.86689,235.7807,104.1211,69.4900,-29.44203588749999,-39.99255678,21.445725581250013,1.2547959837060822e-141,1.2547286442087944e-141
1789,-15919.39410821,0.00029576,19.610502,20.208322,19.146425,89.862473,90.154241,89.913919,7587.580833,6.619168,22.58400,21.48477,21.66238,21.910383333333332,3.96911,3.93636,3.96660,3.957356666666667,145.94324,65.14225,163.62877,227.7595,101.2562,67.4522,-29.449319712499992,-40.02353161,0,1.814687030977311e-115,1.8145896445384097e-115
179,-15918.39898814,0.00000034,19.575451,20.242089,19.096666,90.138803,90.229197,89.705362,7566.833683,6.637317,20.96673,21.43066,20.96321,21.1202,3.97130,4.00106,3.99808,3.9901466666666665,149.42711,65.87120,168.27305,234.3050,104.3686,72.3331,-29.436081275,-40.00777152,0,3.479527983245469e-132,3.479341251961473e-132
1790,-15918.75575208,0.00000103,19.590650,20.226574,19.142001,90.190349,89.846823,90.068488,7584.976400,6.621441,21.53886,20.46644,21.04990,21.0184,3.93954,3.93921,3.93487,3.9378733333333336,147.36705,64.59626,164.82786,228.6393,101.0483,69.5710,-29.424947450000012,-40.01525057999998,0,3.426815642341313e-126,3.426631739901674e-126
1791,-15919.57622535,0.00000014,19.524194,20.371616,19.093383,89.870868,89.730890,90.130808,7594.067177,6.613514,20.59706,21.32404,20.21341,20.71150333333333,3.91967,3.88784,3.92994,3.9124833333333338,145.48250,64.66796,167.19337,233.5762,102.6655,67.1717,-29.473439612499995,0,21.47205826875001,2.080822490651994e-112,2.0807108218689527e-112
1792,-15917.17986944,0.00000019,19.593754,20.233330,19.097334,90.257309,90.092106,89.843422,7570.964163,6.633695,22.03694,21.80573,21.88146,21.908043333333335,3.96236,3.97202,3.95188,3.9620866666666665,145.36849,62.29178,150.62170,219.9269,104.6275,66.5591,-29.507949575000016,-40.005599749999995,21.431391478125,1.1514035609184471e-152,1.1513417700472821e-152
1793,-15917.52335257,0.00000033,19.472083,20.199343,19.250245,90.007635,90.116136,89.886490,7571.539322,6.633192,22.04960,21.79154,23.28570,22.375613333333334,3.97225,3.93510,3.97448,3.9606099999999995,150.19246,64.24074,169.18299,240.5715,107.4080,66.2465,-29.52201542499999,-40.0257916,21.44182591250001,6.784067914447441e-147,6.783703842734703e-147
1794,-15919.18921105,0.00003331,19.489899,20.314608,19.139223,90.244463,89.944420,90.172326,7577.679115,6.627817,25.65359,22.07062,25.90512,24.54311,3.91484,3.89585,3.89049,3.900393333333333,144.98310,62.73938,177.57416,241.4623,98.5083,63.5457,-29.518676575000008,-39.94208354,21.44567146562499,6.556634050374507e-119,6.556282184057922e-119
1795,-15916.84159434,0.00000001,19.536115,20.309118,19.128017,90.233256,89.639934,89.982039,7589.042734,6.617893,21.80377,22.04697,20.83745,21.562730000000002,3.93595,3.93628,3.93479,3.9356733333333334,141.37189,62.19340,159.51191,223.2419,97.2574,67.3161,-29.518065287499997,-39.979213769999994,21.42869430312502,2.3903197664207243e-158,2.3901914882515893e-158
