taskid,energy,Gnorm,a,b,c,alpha,beta,gamma,V,Static_xx,Static_yy,Static_zz,ε0,HighFreq_xx,HighFreq_yy,HighFreq_zz,ε∞,Bulk0,Shear0,Young0,C11,C12,C44,V_La_avg,V_Ce_avg,V_O_avg,Weight,Wi
0,-17633.29193718,0.00000035,19.107561,20.178740,19.004351,89.771589,90.073018,89.943184,7327.373364,6.937714,23.43998,24.70977,24.06363,24.071126666666668,4.56348,4.39616,4.49720,4.485613333333333,165.81572,69.09629,186.85128,280.3921,119.0111,78.1070,-29.620310149999995,-40.18781921428572,21.59723497058824,0.0009983368324143576,0.0005834197725251898
1,-17627.99785685,0.00004926,19.287294,20.149404,18.922173,89.915106,89.933667,89.907806,7353.654116,6.912920,23.61318,24.48249,24.05134,24.04900333333333,4.38781,4.37702,4.35296,4.3725966666666665,165.97551,69.59065,175.29757,263.0148,117.3752,82.8132,0,-40.143927700000006,21.605806247058833,1.1551593534716918e-92,6.7506555438103e-93
10,-17623.20330452,0.00003878,19.372418,20.100576,18.911986,89.965012,90.091448,90.183912,7364.217631,6.903004,24.36372,23.75759,23.99795,24.039753333333334,4.31753,4.34176,4.36259,4.340626666666666,163.37656,69.85212,175.03869,255.3268,110.0577,80.5756,0,-40.10934465714284,0,3.2938799124627125e-173,1.9249161273623973e-173
100,-17628.82202267,0.00002622,19.338234,20.070653,18.955167,89.998863,89.911529,90.014228,7357.078551,6.909702,23.22543,23.61360,23.67269,23.503906666666666,4.30881,4.35316,4.35302,4.33833,168.38188,71.93437,179.41204,263.8918,115.1460,84.2441,0,-40.12649375000001,0,8.091299956752859e-79,4.728488649252346e-79
1000,-17626.06090146,0.00000048,19.279026,20.099216,18.978779,89.831766,90.103969,89.966513,7354.104924,6.912496,24.74719,24.46025,25.17405,24.79383,4.36746,4.37382,4.38089,4.374056666666667,168.19608,70.90413,179.93933,262.8738,114.6811,82.8251,-29.7506107,-40.13697624285714,0,3.3359804539433187e-125,1.9495193349535684e-125
1001,-17628.57223667,0.00002336,19.318578,20.083753,18.954248,89.870739,89.999216,90.089335,7354.022321,6.912574,24.55675,23.70066,24.24083,24.166079999999997,4.39172,4.34837,4.38215,4.37408,168.24475,70.61904,179.74672,263.3919,115.2405,83.7485,-29.77073920000001,-40.12427577857141,21.62241275294118,5.1498927984671035e-83,3.009554678799789e-83
1002,-17627.45372548,0.00000023,19.307995,20.103442,18.956363,89.958472,90.098152,89.919518,7358.027758,6.908811,24.11944,23.64731,23.52325,23.763333333333335,4.37482,4.33344,4.35592,4.354726666666667,166.98624,71.21268,177.02013,259.3543,113.4821,83.9023,-29.748239575000003,-40.139220364285706,21.594051458823536,8.349052732618292e-102,4.87911723569794e-102
1003,-17628.31102028,0.00017919,19.346083,20.079755,18.936688,89.999701,89.876462,90.010238,7356.216119,6.910512,24.72842,23.64139,23.64695,24.00558666666667,4.38125,4.37939,4.36925,4.37663,171.14511,70.76975,177.61354,265.7216,120.3607,84.8246,-29.809203700000005,-40.13516394285715,0,2.1064733815719913e-87,1.2310055897016349e-87
1004,-17630.71696328,0.00000074,19.316660,20.034541,18.965679,90.036531,89.862214,89.935059,7339.698258,6.926064,23.72100,23.87943,23.39551,23.665313333333334,4.40686,4.45082,4.41232,4.423333333333333,171.92405,71.69969,180.17852,268.0271,118.8310,85.1027,-29.809203700000005,0,21.62974910588234,5.515939118287362e-47,3.2234691149993954e-47
1005,-17628.34679206,0.00000003,19.292583,20.088117,18.959949,89.959359,89.956786,89.883415,7347.940500,6.918295,24.17295,24.70398,23.57878,24.151903333333333,4.40193,4.40015,4.37294,4.391673333333333,171.79056,71.95230,182.63729,268.6416,118.8009,85.4624,-29.760142124999998,0,21.620432082352934,8.404181644926265e-87,4.9113341152459945e-87
1006,-17631.44647416,0.00000223,19.327831,20.081019,18.928304,90.194437,90.027720,90.102184,7346.446537,6.919702,23.96612,23.62689,23.88419,23.825733333333332,4.41170,4.39756,4.39907,4.402776666666667,168.05550,71.10692,178.60702,261.5631,117.3295,84.1197,-29.80240885,-40.139220364285706,0,9.928024966970151e-35,5.80185552590139e-35
1007,-17625.27422484,0.00000002,19.331109,20.081806,18.962294,89.838712,89.871139,90.130999,7361.163244,6.905868,23.97064,23.90838,23.88155,23.92019,4.30978,4.36942,4.32805,4.33575,165.90038,71.01221,175.12838,259.1932,114.7298,82.1598,-29.7838101,0,21.622550047058816,2.0306633753385686e-138,1.1867028502295531e-138
1008,-17628.55921655,0.00000059,19.324905,20.094489,18.939932,90.025957,90.021347,90.169140,7354.798516,6.911844,24.14071,25.13355,24.28896,24.521073333333334,4.36605,4.37369,4.36930,4.36968,162.64453,69.16073,166.71246,247.9573,109.0578,82.8200,-29.834500450000007,-40.12220632857142,0,3.112216490681899e-83,1.8187535289584145e-83
1009,-17628.84656611,0.00000000,19.364437,20.066822,18.912523,89.955944,89.963654,89.897224,7349.063997,6.917238,24.36670,24.80791,23.24589,24.14016666666667,4.37389,4.36461,4.36337,4.36729,168.65929,70.76794,175.00624,261.0425,115.5086,83.9764,0,-40.11657092142858,21.608470185294117,2.0908840345900256e-78,1.2218953045005578e-78
101,-17627.12541030,0.00003428,19.290620,20.088273,18.935970,89.959627,90.072381,89.874263,7337.951532,6.927713,23.54024,24.27196,24.24518,24.01912666666667,4.40158,4.37507,4.37192,4.382856666666666,171.09437,71.16026,178.36594,268.2785,118.5911,86.2536,0,-40.114882157142866,21.6067582264706,2.547914969816559e-107,1.488980396034244e-107
1010,-17627.94129187,0.00000003,19.362549,20.049928,18.932945,89.929502,89.817539,89.961313,7350.060446,6.916300,24.29893,24.83127,24.18231,24.437503333333336,4.39322,4.38268,4.36087,4.378923333333334,170.13752,69.83911,175.18059,263.0255,118.4949,82.0358,-29.818146600000013,-40.120693564285716,21.614195288235326,1.2953647006188182e-93,7.570003974956247e-94
1011,-17628.96893817,0.00003188,19.342674,20.062029,18.937460,89.934453,90.037536,90.160640,7348.708448,6.917572,23.84342,23.78790,23.08740,23.57290666666667,4.37134,4.38184,4.40460,4.385926666666667,171.30221,72.21675,179.18132,262.3084,118.2217,83.8167,-29.767477824999997,0,21.610826467647065,2.3773333057267315e-76,1.3892938850001108e-76
1012,-17627.88516902,0.00005940,19.354633,20.071775,18.910597,89.866465,90.030216,89.840739,7346.374182,6.919770,23.06796,24.53856,23.27343,23.62665,4.42175,4.38403,4.39885,4.401543333333334,173.46758,72.36247,180.24271,270.9288,119.9447,85.4166,0,-40.13427265,21.61006997058825,1.4776435225552764e-94,8.635226306512874e-95
1013,-17630.31317193,0.00000012,19.327718,20.099332,18.922425,90.058985,90.030510,89.885955,7350.854561,6.915553,25.93483,24.25035,23.73297,24.63938333333333,4.36510,4.39133,4.36668,4.37437,164.97830,69.24365,170.13747,251.6537,110.4267,84.9576,0,-40.142006335714285,21.60094294117646,9.082875058380998e-54,5.307956922334576e-54
